"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25388","Contact Us Form","tests.ui","2026-09-03","passed","2026-09-03","","test_misc","",""
"","5528","Login User with correct email and password","tests.ui","2026-09-03","passed","2026-09-03","","test_auth","",""
"","2900","Login User with incorrect email and password","tests.ui","2026-09-03","passed","2026-09-03","","test_auth","",""
"","2781","Verify Subscription in home page","tests.ui","2026-09-03","passed","2026-09-03","","test_misc","",""
"","855","GET user account detail by email","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
"","1813","Get All Products List","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
"","507","PUT METHOD To Update User Account","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
"","3756","Logout User","tests.ui","2026-09-03","passed","2026-09-03","","test_auth","",""
"","621","Get All Brands List","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
"","910","Post to All Products List","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
"","2904","Verify Test Cases Page","tests.ui","2026-09-03","passed","2026-09-03","","test_misc","",""
"","6008","Register User","tests.ui","2026-09-03","passed","2026-09-03","","test_auth","",""
"","643","DELETE METHOD To Delete User Account","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
"","1393","POST To Create/Register User Account","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
"","2145","Register User with existing email","tests.ui","2026-09-03","passed","2026-09-03","","test_auth","",""
"","1306","Put to All Brands List","tests.api","2026-09-03","passed","2026-09-03","","test_api_products","",""
